categoria,concepto,Q1_2026_USD,Q2_2026_USD,variacion_porcentaje
Ingresos,Ventas de GPUs Gaming (Nova Phoenix & Spark),12500000,15800000,26.4%
Ingresos,Ventas de GPUs Data Center/IA (Nova Titan X),22000000,28500000,29.5%
Ingresos,Licenciamiento y Servicios de Software,1800000,2300000,27.7%
Costos,Costo de Ventas (Componentes de Silicio y Ensamble),18200000,21500000,18.1%
Costos,Logística y Aranceles de Exportación,2400000,2900000,20.8%
Gastos,Investigación y Desarrollo (I+D),5100000,6200000,21.5%
Gastos,Ventas y Marketing,3200000,3800000,18.7%
Gastos,Administrativos e Infraestructura Cloud (OCI),1900000,2100000,10.5%
Utilidad,Utilidad Operativa (EBITDA),5500000,10100000,83.6%
Utilidad,Utilidad Neta del Periodo,3800000,7200000,89.4%
